type,price,location,bath,area,bed,Possession,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Public Transport,Nearby Restaurants,Security Staff
Residential Plot,PKR1.65 Crore,"Bahria Greens - Overseas Enclave - Sector 6, Bahria Greens - Overseas Enclave, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,10 Marla,-,-,-,-,-,-,-,-,-,-,-,-,-
Residential Plot,PKR1.4 Crore,"Bahria Town Phase 8 - Block E, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,10 Marla,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Residential Plot,PKR1.13 Crore,"Bahria Town Phase 8 - Block L, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,10 Marla,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Residential Plot,PKR2.5 Crore,"Bahria Town Phase 8 - Block A, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,1.1 Kanal,-,-,-,-,-,-,-,-,-,-,-,-,-
Residential Plot,PKR1.65 Crore,"Bahria Town Phase 8 - Block C, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,10 Marla,-,-,-,-,-,-,-,-,-,-,-,-,-
Residential Plot,PKR1.3 Crore,"Bahria Town Phase 8 - Block I, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,10 Marla,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Commercial Plot,PKR2.6 Crore,"Hub Commercial, Bahria Town Phase 8 - Safari Valley, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,5 Marla,-,-,-,-,-,-,-,-,Yes,Yes,Yes,Yes,-
Residential Plot,PKR1 Crore,"Bahria Town Phase 8 - Umer Block, Bahria Town Phase 8 - Safari Valley, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,7 Marla,-,-,-,-,-,-,-,-,-,-,-,-,-
Residential Plot,PKR42.5 Lakh,"Bahria Town Phase 8 - Bahria Orchard, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,5 Marla,-,-,-,-,-,-,-,-,-,-,-,-,-
Residential Plot,PKR1.4 Crore,"Bahria Town Phase 8 - Block C, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,10 Marla,-,-,-,-,-,-,-,-,Yes,Yes,Yes,Yes,-
Residential Plot,PKR42.5 Lakh,"Bahria Town Phase 8 - Bahria Orchard, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,5 Marla,-,-,-,-,-,-,-,-,-,-,-,-,-
